Timestamp,Altitude,Pressure,Baterai
"['ALT : 626.62 ', ' PRESSURE : 199.97 ', ' TEMP : 0.52 ', ' BATERAI : 99']", 626.62 , 199.97 , 0.52 , 99,22:22:24
"['ALT : 214.8 ', ' PRESSURE : 152.18 ', ' TEMP : 9.65 ', ' BATERAI : 98']", 214.8 , 152.18 , 9.65 , 98,22:22:24
"['ALT : 549.1 ', ' PRESSURE : ERORRRR ', ' TEMP : 68.15 ', ' BATERAI : 97']", 549.1 , ERORRRR , 68.15 , 97,22:22:25
"['ALT : 670.68 ', ' PRESSURE : 81.67 ', ' TEMP : 52.87 ', ' BATERAI : 96']", 670.68 , 81.67 , 52.87 , 96,22:22:25
"['ALT : ERORRR ', ' PRESSURE : 123.75 ', ' TEMP : 50.79 ', ' BATERAI : 95']", ERORRR , 123.75 , 50.79 , 95,22:22:26
"['ALT : ERORRR ', ' PRESSURE : 31.1 ', ' TEMP : 71.95 ', ' BATERAI : 94']", ERORRR , 31.1 , 71.95 , 94,22:22:26
"['ALT : 132.61 ', ' PRESSURE : ERORRRR ', ' TEMP : 60.45 ', ' BATERAI : 93']", 132.61 , ERORRRR , 60.45 , 93,22:22:27
"['ALT : 452.12 ', ' PRESSURE : 372.33 ', ' TEMP : 57.94 ', ' BATERAI : 92']", 452.12 , 372.33 , 57.94 , 92,22:22:27
"['ALT : 654.42 ', ' PRESSURE : 218.46 ', ' TEMP : 83.51 ', ' BATERAI : 91']", 654.42 , 218.46 , 83.51 , 91,22:22:28
"['ALT : ERORRR ', ' PRESSURE : 143.33 ', ' TEMP : 16.18 ', ' BATERAI : 90']", ERORRR , 143.33 , 16.18 , 90,22:22:28
"['ALT : 401.83 ', ' PRESSURE : ERORRRR ', ' TEMP : 5.34 ', ' BATERAI : 89']", 401.83 , ERORRRR , 5.34 , 89,22:22:29
"['ALT : 686.48 ', ' PRESSURE : 343.53 ', ' TEMP : 1.48 ', ' BATERAI : 88']", 686.48 , 343.53 , 1.48 , 88,22:22:29
"['ALT : 578.78 ', ' PRESSURE : 392.05 ', ' TEMP : 54.33 ', ' BATERAI : 87']", 578.78 , 392.05 , 54.33 , 87,22:22:30
"['ALT : 407.44 ', ' PRESSURE : 58.26 ', ' TEMP : 29.58 ', ' BATERAI : 86']", 407.44 , 58.26 , 29.58 , 86,22:22:30
"['ALT : ERORRR ', ' PRESSURE : 104.17 ', ' TEMP : 5.99 ', ' BATERAI : 85']", ERORRR , 104.17 , 5.99 , 85,22:22:31
"['ALT : 166.16 ', ' PRESSURE : 170.15 ', ' TEMP : 85.85 ', ' BATERAI : 84']", 166.16 , 170.15 , 85.85 , 84,22:22:31
"['ALT : 173.43 ', ' PRESSURE : ERORRRR ', ' TEMP : 12.9 ', ' BATERAI : 83']", 173.43 , ERORRRR , 12.9 , 83,22:22:32
"['ALT : 435.56 ', ' PRESSURE : 349.88 ', ' TEMP : 82.73 ', ' BATERAI : 82']", 435.56 , 349.88 , 82.73 , 82,22:22:32
"['ALT : ERORRR ', ' PRESSURE : 147.23 ', ' TEMP : 5.01 ', ' BATERAI : 81']", ERORRR , 147.23 , 5.01 , 81,22:22:33
"['ALT : 298.63 ', ' PRESSURE : 58.32 ', ' TEMP : 60.67 ', ' BATERAI : 80']", 298.63 , 58.32 , 60.67 , 80,22:22:33
"['ALT : 522.86 ', ' PRESSURE : ERORRRR ', ' TEMP : 68.25 ', ' BATERAI : 79']", 522.86 , ERORRRR , 68.25 , 79,22:22:34
"['ALT : ERORRR ', ' PRESSURE : 63.31 ', ' TEMP : 38.35 ', ' BATERAI : 78']", ERORRR , 63.31 , 38.35 , 78,22:22:34
"['ALT : 73.91 ', ' PRESSURE : ERORRRR ', ' TEMP : 83.02 ', ' BATERAI : 77']", 73.91 , ERORRRR , 83.02 , 77,22:22:35
"['ALT : 119.13 ', ' PRESSURE : 67.76 ', ' TEMP : 21.06 ', ' BATERAI : 76']", 119.13 , 67.76 , 21.06 , 76,22:22:35
"['ALT : 605.99 ', ' PRESSURE : ERORRRR ', ' TEMP : 69.62 ', ' BATERAI : 75']", 605.99 , ERORRRR , 69.62 , 75,22:22:36
"['ALT : 590.27 ', ' PRESSURE : 189.56 ', ' TEMP : 29.36 ', ' BATERAI : 74']", 590.27 , 189.56 , 29.36 , 74,22:22:36
